c0,sigma,dWage_Share,dWage_Share_se,dIncome_Gini,dIncome_Gini_se,dWealth_Gini,dWealth_Gini_se,dY,dY_se,dU,dU_se,dOutput_Gap,dOutput_Gap_se
1.0,0.05,0.3050114968200033,0.1777167514247902,-0.06799838694753065,0.2749159651994379,-0.02080680257003325,0.005177236131177221,169.73693284077635,29.58144763703995,-0.9203851540616248,0.15741216578134729,0.3183917870583418,0.25601102461729264
1.0,0.3,-0.18714505212693852,0.029544691566607856,-0.028241417752995556,0.061795030095515784,-0.00576099092961294,0.0005249849674366903,41.8881455827059,10.505533383096896,-0.019712885154061676,0.08099560643864441,0.44085800769468625,0.09578446631269164
1.0,0.4,-0.24763739850494093,0.032145706283043106,0.08307502561402265,0.05877451332395467,-0.0033152177842704625,0.0010353706975673442,26.759500450673507,8.691054944942078,0.12030812324930018,0.07551045393208702,0.4189906068723662,0.07887966332230248
1.0,0.5,-0.3059146257283284,0.034793535266350664,0.16837486686551567,0.06320687126649636,-0.0027433005238760733,0.0008613382275140925,17.750894593786928,9.261752276269439,0.22579831932773117,0.08112864413770636,0.41930944757735433,0.07647292436437013
1.0,0.6,-0.35804697668552626,0.03580211536444238,0.2562572491006811,0.06722155686003706,-0.0008701016864055235,0.0010901531411028284,5.62344520505661,9.74648895006644,0.33896358543417376,0.08563953277195063,0.44767786587819125,0.07545674587788438
1.0,0.7,-0.40335944657231687,0.03575832882707061,0.3292830683345035,0.06100709579803949,0.0006005901477544399,0.0010055566663406817,-4.787589509296462,7.455255661259694,0.432703081232493,0.0749613889999315,0.47700140449750755,0.06369800233525588
1.0,0.8,-0.44303288011544484,0.038629751015299196,0.391114698844754,0.07231126867557869,0.0038849027600526163,0.0009288874314052186,-11.660039999980711,9.03131175873668,0.5088165266106442,0.08855612379219722,0.4988471812703585,0.07271227802069737
1.0,0.9,-0.4868718662310609,0.037257244454324115,0.4599516455460881,0.07497964750545873,0.004468891306756429,0.0013709616180645116,-19.791652979123626,9.47197632660515,0.5946708683473388,0.09093709422648323,0.5384183152385564,0.07342912743233791
1.0,1.0,-0.5211089503036068,0.03710643905275551,0.525629404867223,0.07600505022491892,0.005704842917382349,0.0011012873270179109,-29.562399579635972,8.629714668527352,0.6788585434173671,0.08977823158244932,0.5817105004098503,0.07099227536304345
1.0,1.25,-0.6076255816154815,0.03744098006796313,0.6818213305019907,0.09172817731140996,0.008521416449360695,0.0013852372184577182,-45.26400799384898,9.994491517975248,0.8613165266106443,0.10449685835464076,0.6796584984466674,0.08168252593446539
1.0,1.5,-0.6760866589925077,0.028233112592025992,0.8372635421290204,0.09159987246427723,0.010503919472851626,0.0018621962137443434,-61.07006015499786,8.888903744841318,1.0357843137254905,0.09819575318092559,0.787657774872324,0.07655122940914781
2.0,0.05,0.19290971630293213,0.11163747666125139,-0.9350025469967952,0.055844913499902546,0.0071426608999000584,0.010848555806498827,337.9179512228703,91.96292293199933,-1.8372380952380953,0.49472442330495875,-0.7462773885288319,0.09682668645565673
2.0,0.3,-0.13265365000291157,0.016549776135632827,-0.25283963638249807,0.05196836603333856,-0.009043598872367324,0.0005301042043450523,100.72610994707443,8.812782695867842,-0.304078431372549,0.06497505397460876,-0.050359142984303815,0.07622767715229202
2.0,0.4,-0.19056203637974461,0.019917522526521868,-0.07773333533991192,0.06193112090156845,-0.007303516333451768,0.0006665770284580507,75.83266471924247,11.1202533221084,-0.08619047619047607,0.07961015535862655,0.09744470490393689,0.07549970915212786
2.0,0.5,-0.24501370668749808,0.023624359313677325,0.06128618097156264,0.05878045417071966,-0.006060233749806608,0.000753048640512629,57.20156947142399,9.124237386448266,0.0871652661064424,0.07444661804189492,0.20232278159908132,0.0649984470033895
2.0,0.6,-0.29669433429259634,0.025384215953168938,0.16772721434018528,0.05830982285314516,-0.003219144640218361,0.001132215373562615,45.85678870379543,8.469111226994373,0.21695798319327733,0.07299845912207104,0.2738033974373627,0.06020257386385584
2.0,0.7,-0.34661876128450775,0.02872371679424824,0.2844471867415471,0.06731093794756311,-0.003190904828335522,0.0008413300464093725,29.262689920462716,9.405713316054406,0.36844257703081246,0.08387796740398418,0.3610317715256349,0.06532863088388899
2.0,0.8,-0.38776029246496085,0.028315757971245803,0.3783179615576679,0.06793752227516864,-0.0017440989579162417,0.0014095397504341866,15.656202538022564,9.170107245612577,0.49011204481792736,0.08394268438716469,0.4277079301884184,0.06313981836739528
2.0,0.9,-0.4298028482250108,0.029684736416639892,0.4675880906927914,0.07356005671061502,-8.556105174780824e-05,0.0008582757185061348,4.6367528811536385,9.862127300556985,0.6024985994397764,0.09025287967944565,0.4888197065455669,0.06683318622881056
2.0,1.0,-0.46873672326902754,0.02921098246834077,0.5524208568693656,0.07348246973171882,0.0011770478110392699,0.001974046489049646,-6.548552755457697,8.836336851792577,0.7100336134453783,0.08731760822056038,0.5494065765005666,0.06359546454645149
2.0,1.25,-0.5600087493294703,0.026643112674050864,0.7680095461404501,0.07930873665942635,0.0040145292964756584,0.0017092375824211894,-32.98831224403658,8.5613004089408,0.9754845938375352,0.08965249308689398,0.705431202423025,0.06450942891588425
2.0,1.5,-0.6351519390834405,0.022891138361519205,0.9797530954195012,0.09148771439442728,0.00714743272621681,0.001966873301282361,-56.573097873507756,10.094085557820113,1.2223081232492998,0.10020919264304537,0.8596934574679044,0.07347255247694326
