rho,sigma_star,ci_lo,ci_hi,frac_undefined,frac_multi_crossing,n_crossings,P_star_gt_0.60,P_star_gt_0.40,c0,eta
0.35,0.2788578342432034,0.259489658659206,0.287220304834634,0.0,0.0,1,0.0,0.0,1.0,0.0
0.4,0.2936902828617709,0.28522779315581204,0.3116428229044958,0.0,0.0,1,0.0,0.0,1.0,0.0
0.45,0.4994827432803701,0.4632466872692165,0.6132554784862831,0.0,0.0345,1,0.07,0.999,1.0,0.0
0.5,0.8406393042944735,0.5823924685344519,0.917952858275685,0.0,0.156,1,0.895,1.0,1.0,0.0
0.55,0.8298013634968509,0.6901813045041831,0.9718071783984571,0.0,0.0725,1,1.0,1.0,1.0,0.0
0.6,1.0842420089720648,0.9634360171124836,1.2839994095153708,0.0,0.0225,1,1.0,1.0,1.0,0.0
0.65,1.2722453251922075,0.9775808807038828,1.4491034985521964,0.017,0.0455,1,0.9989827060020345,0.9989827060020345,1.0,0.0
0.35,0.2523924254740157,0.20771180668965625,0.2757603097051911,0.0,0.0,1,0.0,0.0,1.0,0.05
0.4,0.2909063845991911,0.26556819836556456,0.34007898216437776,0.0,0.001,1,0.0,0.0005,1.0,0.05
0.45,0.6084215274324257,0.4613825333534241,0.6525403571916332,0.0,0.233,1,0.374,1.0,1.0,0.05
0.5,0.6811725996825784,0.6496308907750811,0.7704788660602616,0.0,0.027,1,1.0,1.0,1.0,0.05
0.55,0.9490273965828865,0.6994367239166884,1.052793414298142,0.0,0.09,1,1.0,1.0,1.0,0.05
0.6,1.3023027504740996,1.1755595700369657,1.3674760263880683,0.0005,0.0005,1,1.0,1.0,1.0,0.05
0.65,1.3571641678556468,0.8569859873453357,1.4696475079318385,0.045,0.1175,1,0.9952879581151832,0.9952879581151832,1.0,0.05
0.35,0.26040510113750354,0.2298165423704063,0.29241148316253884,0.0,1.0,2,0.0,0.0,1.0,0.1
0.4,0.3418737847022997,0.30512008121466955,0.38225871173748815,0.0,1.0,2,0.0,0.0125,1.0,0.1
0.45,0.6004586682249018,0.524966492579682,0.667011389367382,0.0,0.0015,1,0.5065,1.0,1.0,0.1
0.5,0.7752513488988179,0.7359996071038646,0.8346898923074515,0.0,0.0075,1,1.0,1.0,1.0,0.1
0.55,1.10288136385401,0.8630295840091081,1.2740557392949265,0.0,0.1555,1,1.0,1.0,1.0,0.1
0.6,1.3200806971097698,1.211696762780519,1.3840811530367576,0.0005,0.0005,1,1.0,1.0,1.0,0.1
0.65,1.387368604985133,0.7787093648598442,1.4706673141198081,0.14,0.293,1,1.0,1.0,1.0,0.1
0.35,0.31198076280249826,0.2718223505927496,0.3582800092581583,0.0,1.0,2,0.0,0.0015,1.0,0.15
0.4,0.3640553425957119,0.33874690030803956,0.40841167615579144,0.0,1.0,2,0.0,0.0415,1.0,0.15
0.45,0.5556888817239565,0.4838642652423045,0.6205803329802089,0.0,0.054,1,0.1615,1.0,1.0,0.15
0.5,0.8232777276736071,0.5844052793528212,0.9590962886346645,0.0,0.142,1,0.9555,1.0,1.0,0.15
0.55,0.9779308822870116,0.9173310556401043,1.0898301445438061,0.0,0.0015,1,1.0,1.0,1.0,0.15
0.6,1.2841754127545386,0.9848555028855456,1.41121163807929,0.002,0.045,1,1.0,1.0,1.0,0.15
0.65,1.3911631721072226,0.6930321487045592,1.4787680721242424,0.18,0.0895,1,1.0,1.0,1.0,0.15
0.5,0.8953657727322729,0.6902860140085247,1.2147600026452194,0.0,0.269,1,1.0,1.0,2.0,0.0
0.55,1.0523408969181847,0.9446280904272082,1.1530081040649949,0.0,0.003,1,1.0,1.0,2.0,0.0
0.6,1.1887099119816553,1.0945247012110808,1.2954319059426809,0.0,0.0,1,1.0,1.0,2.0,0.0
0.65,1.4881552286916673,1.135366203571831,1.484816393281141,0.406,0.081,1,1.0,1.0,2.0,0.0
0.5,0.8326122235725093,0.753965118184016,0.9117459041735526,0.0,0.0445,1,0.994,1.0,2.0,0.05
0.55,1.0241943405612894,0.8906620420175926,1.0946245250839197,0.0,0.0265,1,1.0,1.0,2.0,0.05
0.6,1.2409671107876108,1.1926184548481191,1.344431611743392,0.0005,0.0005,1,1.0,1.0,2.0,0.05
0.65,1.2495079795814386,1.1449178257598223,1.4824192981486082,0.234,0.159,1,1.0,1.0,2.0,0.05
0.5,0.8788701095979021,0.8622879332231813,0.8918274770406985,0.0,1.0,2,1.0,1.0,2.0,0.1
0.55,,,,1.0,0.0,0,,,2.0,0.1
0.6,0.6400241364728229,0.6318897086863775,0.6548473108355571,0.0,1.0,2,1.0,1.0,2.0,0.1
0.65,0.616792607787283,0.6142225029046208,0.6212638549929,0.0,1.0,3,1.0,1.0,2.0,0.1
0.5,0.08958934817995493,0.07670795606240485,0.11249460653761728,0.0,1.0,4,0.0,0.0,2.0,0.15
0.55,0.09473380062775844,0.08063722064267838,0.12592993069829853,0.0,1.0,4,0.0,0.0,2.0,0.15
0.6,0.3580993074879158,0.34299880930947857,0.3810659308788023,0.0,1.0,2,0.0,0.0015,2.0,0.15
0.65,0.4172842484082224,0.05327820285734621,0.4419710888806739,0.0,1.0,2,0.0,0.8165,2.0,0.15
