scenario,spread,n_seeds,c0,sigma,eta,rr,rho,Unemployment_Rate,Unemployment_Rate_lo,Unemployment_Rate_hi,Output,Output_lo,Output_hi,Total_Capital,Total_Capital_lo,Total_Capital_hi,Dead_Firms,Dead_Firms_lo,Dead_Firms_hi,TopK_Share,TopK_Share_lo,TopK_Share_hi,Wage_Share,Wage_Share_lo,Wage_Share_hi,Investment,Investment_lo,Investment_hi,frac_seeds_any_dead,frac_seeds_U1,Output_within_band0,Unemployment_Rate_within_band0
S1_anchor,0.0,20,2.0,1.0,0.0,0.0,0.4,0.25749999999999995,0.24941176470588233,0.2672549019607844,132.08978811269847,130.94941851674412,133.8739561223781,418.40884238137005,410.05988291532094,426.6929935600619,0.0,0.0,0.0,0.3495214086961937,0.3283725155946844,0.389481310364836,0.5058393037514659,0.5030933275086262,0.5098669266849839,20.91636158296246,20.50299414420434,21.391946400223194,0.0,0.0,True,True
S1_anchor,0.05,20,2.0,1.0,0.0,0.0,0.4,0.24967647058823533,0.2380392156862745,0.2656862745098039,133.00112557071077,131.02993056765175,135.0624277198582,420.7295234309314,410.60429475426315,429.2126553105548,0.0,0.0,0.0,0.3500344623257705,0.33201162465944106,0.38782223223445916,0.5076914302975208,0.5022935742876588,0.5135945151398518,21.04994393112226,20.56724814549195,21.596625112334806,0.0,0.0,True,True
S1_anchor,0.1,20,2.0,1.0,0.0,0.0,0.4,0.22921568627450978,0.20784313725490192,0.27215686274509804,134.6967945090111,128.93773129133956,136.97656282937646,421.70389919922474,402.0981778064849,433.5246802954538,0.0,0.0,0.0,0.3513624787417447,0.3288766192074329,0.3842571088088705,0.5149211174927459,0.5079731716337652,0.5203967550813686,21.10352768504064,20.127140365064655,21.696967433471972,0.0,0.0,False,False
S1_anchor,0.125,20,2.0,1.0,0.0,0.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,9.588562085504718e-19,2.758066762698284e-26,1.4139992906882765e-17,10.0,10.0,10.0,0.7394284143453299,0.6530616419767671,0.8251730209871044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False
S1_anchor,0.15,20,2.0,1.0,0.0,0.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,1.7501224414776884e-29,1.0587760258059531e-32,2.946242181274633e-28,10.0,10.0,10.0,0.764465163159321,0.6715115705191433,0.855132864206765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False
S1_anchor,0.175,20,2.0,1.0,0.0,0.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,2.8193513810909504e-33,9.034897484177853e-35,3.5535599972516365e-32,10.0,10.0,10.0,0.7901482244747171,0.7071026649301112,0.8822899944834811,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False
S1_anchor,0.2,20,2.0,1.0,0.0,0.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,8.29034422061229e-35,2.7671601512166193e-36,6.133313400605336e-34,10.0,10.0,10.0,0.8173254966695425,0.7493748165245807,0.9027227810253765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False
S2_headline,0.0,20,1.0,0.5,0.1,0.0,0.4,0.5660588235294117,0.5431372549019609,0.58,82.08292683805855,78.61195304802838,84.92448394145883,298.7470165586475,277.56502258285815,315.08861621915713,0.0,0.0,0.0,0.36302935346399573,0.3274942918413639,0.4094936125584777,0.4401570834842681,0.43484389932341966,0.4495231413795246,14.964108065562238,13.878251129142804,15.756044567954145,0.0,0.0,True,True
S2_headline,0.05,20,1.0,0.5,0.1,0.0,0.4,0.5628823529411766,0.5498039215686275,0.5762745098039217,82.66842969357842,80.33841773405668,84.754859821905,302.86156256036327,293.8465615437406,313.126258837058,0.0,0.0,0.0,0.3623083641000379,0.3327599754992101,0.4019914073650558,0.4404906442248183,0.4315972052809835,0.4484159749777916,15.086488374689505,14.541835826343819,15.549930342809898,0.0,0.0,True,True
S2_headline,0.1,20,1.0,0.5,0.1,0.0,0.4,0.5539803921568628,0.5405882352941177,0.5715686274509805,83.18402735630607,79.51179460921686,86.51618594813515,302.292778730994,288.0230839434524,320.24274993251544,0.0,0.0,0.0,0.3626203920988524,0.3344690336517594,0.4058605421689628,0.4473408780320506,0.43145475297101377,0.45523963693754427,15.040267176338578,14.09343440665895,15.984187446542583,0.0,0.0,True,True
S2_headline,0.125,20,1.0,0.5,0.1,0.0,0.4,0.542686274509804,0.5172549019607844,0.5619607843137255,84.2332469454119,80.69529573287464,88.63900831329977,302.16317953310283,281.4695641306285,321.02089803673465,0.0,0.0,0.0,0.36178544814098373,0.3276582856645615,0.40730076388083547,0.45403313518605265,0.43503512095943314,0.46378517592974,15.12718172862903,14.25785700064015,16.14515374283555,0.0,0.0,True,False
S2_headline,0.15,20,1.0,0.5,0.1,0.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,4.998752269715563e-23,4.398012810103667e-29,9.279777214681724e-22,10.0,10.0,10.0,0.6944235712813095,0.5419221808884916,0.8044147943685419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False
S2_headline,0.175,20,1.0,0.5,0.1,0.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,1.3725653351276565e-31,1.7581202444682967e-33,6.059359537237295e-31,10.0,10.0,10.0,0.70540426424112,0.5408709329450734,0.7971624131087063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False
S2_headline,0.2,20,1.0,0.5,0.1,0.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,7.243771641231174e-34,1.4277324156645314e-35,4.387465546042087e-33,10.0,10.0,10.0,0.7168623557728429,0.5691685971386662,0.8173608951069002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False
S3_benefit,0.0,20,1.0,0.5,0.1,0.5,0.4,0.4265784313725491,0.421764705882353,0.43098039215686273,108.70145886249315,107.61553815280895,109.8097494441009,396.59457083095197,385.9988068065657,403.68569788690263,0.0,0.0,0.0,0.34715109509592407,0.3194220052025875,0.38556548288164294,0.451907120024187,0.4497400079865404,0.4552596596060633,19.819161935366523,19.43339326967506,20.16090373668401,0.0,0.0,True,True
S3_benefit,0.05,20,1.0,0.5,0.1,0.5,0.4,0.42085294117647065,0.4113725490196078,0.4325490196078431,109.47153030771366,107.27968459585784,111.19210345094689,399.69044114862606,382.2563811458074,408.6525089177969,0.0,0.0,0.0,0.34788401311256567,0.3227487285331259,0.3808406885377731,0.4538179710657705,0.44994361351677675,0.46065843293257147,19.982735582634493,19.33947780748655,20.36219296989555,0.0,0.0,True,False
S3_benefit,0.1,20,1.0,0.5,0.1,0.5,0.4,0.4102156862745098,0.39941176470588236,0.42588235294117643,109.86432903479688,106.83396754242384,111.65467803860015,396.8236329281507,382.9053371159192,407.85357519795633,0.0,0.0,0.0,0.34676985706022767,0.33099103072617897,0.3785060507110438,0.46168657779118494,0.45445304470830566,0.46813914926032335,19.849319696713884,18.965057903269795,20.465195791664705,0.0,0.0,False,False
S3_benefit,0.125,20,1.0,0.5,0.1,0.5,0.4,0.6763137254901961,0.40901960784313723,1.0,58.9377364412033,0.0,109.9357785417917,196.4955006049763,1.172397882029639e-14,396.0743139949431,4.15,0.0,10.0,0.5028181661450057,0.34123945395884236,0.708317919009489,0.30316257423835313,0.0,0.4987935912215184,9.76549892325989,0.0,19.79223200000186,0.9,0.35,False,False
S3_benefit,0.15,20,1.0,0.5,0.1,0.5,0.4,1.0,1.0,1.0,0.0,0.0,0.0,1.5202915677282728e-26,1.1342944450810576e-29,1.688284517605952e-25,10.0,10.0,10.0,0.7289314090624648,0.7038348977470338,0.7590787114256458,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False
S3_benefit,0.175,20,1.0,0.5,0.1,0.5,0.4,1.0,1.0,1.0,0.0,0.0,0.0,6.881165451107436e-32,3.6032077608309706e-33,3.1855110163639173e-31,10.0,10.0,10.0,0.7610816203023216,0.7326342461069276,0.7920392685965502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False
S3_benefit,0.2,20,1.0,0.5,0.1,0.5,0.4,1.0,1.0,1.0,0.0,0.0,0.0,6.312948505762628e-34,4.390846940850639e-35,1.840248211442335e-33,10.0,10.0,10.0,0.7886074330597437,0.7543868612389747,0.8231897621016782,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,False
