scenario,c0,sigma,eta,rho,n_seeds,n_dropped,I_over_Y,I_over_Y_sd,K_over_Y,K_over_Y_sd,I_over_K
anchor,2.0,1.0,,0.35,20,0,0.13476398645604284,0.0006901072090267683,2.69898488886461,0.02936488907928762,0.04993530230238622
anchor,2.0,1.0,,0.4,20,0,0.1583465204525182,0.0009103282830937873,3.1675884205737725,0.02476985259110985,0.04999070133744323
anchor,2.0,1.0,,0.45,20,0,0.18061122670112764,0.0011600106554914265,3.617488890566956,0.034170403818848984,0.04993001426109707
anchor,2.0,1.0,,0.5,20,0,0.20402490734206916,0.001154465765747133,4.069735603978868,0.04406033443378306,0.05013540654250419
anchor,2.0,1.0,,0.55,20,0,0.22610605693387056,0.0019201803172204462,4.519754642527283,0.059777024409940746,0.05003238449997159
anchor,2.0,1.0,,0.6,20,0,0.2480425746569653,0.0018676985890021757,4.964570193569703,0.06037532255368821,0.04996662007772473
anchor,2.0,1.0,,0.65,20,0,0.269832963631112,0.0021140163764601554,5.38958865999029,0.07063842634737055,0.05007076303633813
headline,1.0,0.5,0.1,0.35,20,0,0.16080537293062963,0.0012529076037341156,3.204910493223371,0.05007947681892695,0.05018236473985287
headline,1.0,0.5,0.1,0.4,20,0,0.18227668823693954,0.0018637668651495063,3.6396721167821355,0.06256209469212355,0.050090486741015974
headline,1.0,0.5,0.1,0.45,20,0,0.20249492163836366,0.002321596389782547,4.060685465653513,0.08019413453472755,0.049883089287263774
headline,1.0,0.5,0.1,0.5,20,0,0.22287160612295454,0.0020565608511676084,4.448928162112217,0.07064214823403318,0.05010434737952023
headline,1.0,0.5,0.1,0.55,20,0,0.24159470518683018,0.0032999220008403324,4.840655713089789,0.09873047084666094,0.0499233818481192
headline,1.0,0.5,0.1,0.6,20,0,0.26131567203091605,0.00331761804675517,5.199813917746572,0.1161549407441198,0.05027557690777468
headline,1.0,0.5,0.1,0.65,20,0,0.2810317608158447,0.003620941166426169,5.6152569032619315,0.10199379829388185,0.05005677559490144
