parameter,bin_lo,bin_hi,n_points,frac_viable,n_viable,P_wage_led_given_viable,mean_slope_viable,mean_capitalist_consumption,mean_profit_level,mean_profit_share,mean_output
capitalist_mpc,0.2001554136164486,0.2750812535407021,832,0.5204326923076923,433,0.07159353348729793,38.46142900308253,38.39739450128282,52.283611620360254,0.5775045460122642,90.96255728931081
capitalist_mpc,0.2750812535407021,0.3500070934649556,832,0.484375,403,0.08684863523573201,40.13687764625703,42.17390474014195,56.04892441254216,0.5798755773046187,97.5620880128478
capitalist_mpc,0.3500070934649556,0.4249329333892092,832,0.46875,390,0.1,50.77713840595643,45.169491201736086,59.45347866426843,0.5767118236111873,103.99532863464522
capitalist_mpc,0.4249329333892092,0.4998587733134627,832,0.4567307692307692,380,0.12631578947368421,51.7475873880181,49.227107275386594,63.83919629710551,0.5597390216789802,115.79631546547
beta,0.0018623871728777,0.2511195859406143,834,0.42326139088729015,353,0.0056657223796034,95.37983445319651,44.29824282841694,61.4074482814948,0.5966319759312992,104.12804174007235
beta,0.2511195859406143,0.5003767847083509,830,0.4578313253012048,380,0.02368421052631579,49.98904500492995,42.916545700429495,57.70004404799519,0.5874129272575428,98.56117773114181
beta,0.5003767847083509,0.7496339834760875,832,0.5264423076923077,438,0.1050228310502283,23.744666193528392,43.501794861284125,56.736341968630605,0.5617695970385012,102.28027518901756
beta,0.7496339834760875,0.998891182243824,832,0.5228365384615384,435,0.2206896551724138,21.220793514779356,43.55219431912599,55.67565029418212,0.5551372003654458,101.73765520682842
sigma,0.4001496477052569,0.4499520495533943,832,0.5060096153846154,421,0.07125890736342043,51.29129539674344,43.74558692073105,57.81054514100018,0.5684838774202545,102.90580892865677
sigma,0.4499520495533943,0.49975445140153163,832,0.4579326923076923,381,0.06824146981627296,49.039554347116095,43.702867800337145,58.56321013902047,0.5794215557027227,102.17310109967534
sigma,0.49975445140153163,0.5495568532496691,832,0.47596153846153844,396,0.09090909090909091,38.86353186052022,43.44357616281876,57.34576930391815,0.5717381821717967,102.08843028253364
sigma,0.5495568532496691,0.5993592550978064,832,0.49038461538461536,408,0.14950980392156862,40.7560378688725,43.31670803094164,57.13854026998972,0.5756571575165472,99.47738075984155
delta,0.0300870947353541,0.04501618788577608,832,0.9915865384615384,825,0.04363636363636364,56.45043932341432,44.091729956569914,58.35920598108595,0.5948756615514939,99.23825359058506
delta,0.04501618788577608,0.05994528103619805,832,0.7584134615384616,631,0.1109350237717908,37.18429960998604,43.415744428344205,57.40789060049637,0.5517186049716749,105.00430590040236
delta,0.05994528103619805,0.07487437418662002,821,0.18270401948842874,150,0.31333333333333335,15.07481426552132,41.15697209467515,55.34365159017432,0.5497393667089201,100.90540389635278
delta,0.07487437418662002,0.089803467337042,843,0.0,0,,,,,,
