arm,scenario,support,method,n_rho,sigma_star,ci_lo,ci_hi,frac_undefined,n_crossings
fixed,b05_eta=0,canonical,ols,7,0.6540142777288407,0.6163766892066104,0.6907509707455771,0.0,1
fixed,b05_eta=0,canonical,chord,7,0.44659831605281486,0.39463824657129926,0.5013200463038071,0.0,1
fixed,b05_eta=0,grid4,ols,4,0.6432485322699947,0.5962510903449612,0.7010099960685872,0.0,1
fixed,b05_eta=0,grid4,chord,4,0.44659831605281486,0.39463824657129926,0.5013200463038071,0.0,1
fixed,b07_eta=0,canonical,ols,7,0.6540142777288407,0.6163766892066104,0.6907509707455771,0.0,1
fixed,b07_eta=0,canonical,chord,7,0.44659831605281486,0.39463824657129926,0.5013200463038071,0.0,1
fixed,b07_eta=0,grid4,ols,4,0.6432485322699947,0.5962510903449612,0.7010099960685872,0.0,1
fixed,b07_eta=0,grid4,chord,4,0.44659831605281486,0.39463824657129926,0.5013200463038071,0.0,1
fixed,b07_eta=0.10,canonical,ols,7,0.7246308936670626,0.697264016238767,0.7448608130047202,0.0,2
fixed,b07_eta=0.10,canonical,chord,7,0.5006833026146278,0.4654057538504059,0.5527410500500827,0.0,2
fixed,b07_eta=0.10,grid4,ols,4,0.708988625648794,0.6848556454441156,0.7297366229298413,0.0,2
fixed,b07_eta=0.10,grid4,chord,4,0.5006833026146278,0.4654057538504059,0.5527410500500827,0.0,2
