qoi,parameter,estimator,S1,S1_conf,ST,ST_conf,n_points,N,tag
slope_raw,sigma,saltelli,-0.002854197266403131,0.01550145053749481,0.02088423906728518,0.019650067830098095,3328,256,sobol
slope_raw,eta,saltelli,0.008569905738498007,0.024244066251754834,0.03131459793138274,0.015046937253495343,3328,256,sobol
slope_raw,pi0,saltelli,-0.03347931136156734,0.12601244411336715,0.5605164970632366,0.1304672698259567,3328,256,sobol
slope_raw,pct_capitalists,saltelli,0.0073136404068279825,0.026305036310189184,0.04493809565604299,0.0330551952771976,3328,256,sobol
slope_raw,delta,saltelli,0.36358897835548565,0.146999309811551,0.89986847948367,0.1455129203599578,3328,256,sobol
slope_raw,c1,saltelli,-0.0018423608269498041,0.003591078913164484,0.0008159132026259298,0.0011892205204303353,3328,256,sobol
slope_raw,wealth_effect,saltelli,-0.04031937429180265,0.06218390927028339,0.1743092347137205,0.05914909738106643,3328,256,sobol
slope_raw,capitalist_mpc,saltelli,-0.023646022424293853,0.05293581298782431,0.12455913814391865,0.04384418034704521,3328,256,sobol
slope_raw,beta,saltelli,-0.013870152735315012,0.03930180753023944,0.0681661700530994,0.03564094367973332,3328,256,sobol
slope_raw,target_utilization,saltelli,4.1808715624924116e-05,0.026784828176361585,0.048131775584404776,0.02903341051275384,3328,256,sobol
slope_raw,c0,saltelli,0.03254952207273376,0.08584058365107529,0.2634897670413393,0.07504418074395834,3328,256,sobol
viable,sigma,saltelli,-0.015653902010242297,0.02197133848403612,0.0156539020102423,0.02193801313149166,3328,256,sobol
viable,eta,saltelli,0.007507099641931103,0.027187626162604884,0.02348085301536345,0.025606827337572916,3328,256,sobol
viable,pi0,saltelli,0.0776298073248314,0.08275076632329588,0.2504624321638768,0.08314745261750615,3328,256,sobol
viable,pct_capitalists,saltelli,0.0006397027263800936,0.029424838621401623,0.0313078040204846,0.02988616156810704,3328,256,sobol
viable,delta,saltelli,0.7112929873764545,0.14120810492057728,0.9157532675991744,0.1216533999222856,3328,256,sobol
viable,c1,saltelli,0.0,0.0,0.0,0.0,3328,256,sobol
viable,wealth_effect,saltelli,-0.008146802368311196,0.05526732413495083,0.10175036306657496,0.054346685537327334,3328,256,sobol
viable,capitalist_mpc,saltelli,-0.030668101294104504,0.0356161832666519,0.0469617060307269,0.036447922294281405,3328,256,sobol
viable,beta,saltelli,-0.009426207821071383,0.03401877382819092,0.039134755025605754,0.03323968005843375,3328,256,sobol
viable,target_utilization,saltelli,-0.0006397027263800918,0.037215086443526654,0.0469617060307269,0.03767025505498142,3328,256,sobol
viable,c0,saltelli,-0.04009430911517588,0.04973626546312854,0.08609646105633266,0.05003089116393405,3328,256,sobol
slope|viable,sigma,rbd_fast,0.01912449140902023,,,,1596,256,sobol
slope|viable,eta,rbd_fast,0.02567759484516296,,,,1596,256,sobol
slope|viable,pi0,rbd_fast,0.08530927898320786,,,,1596,256,sobol
slope|viable,pct_capitalists,rbd_fast,0.03165118855285709,,,,1596,256,sobol
slope|viable,delta,rbd_fast,0.03214299409027827,,,,1596,256,sobol
slope|viable,c1,rbd_fast,0.005341615614308265,,,,1596,256,sobol
slope|viable,wealth_effect,rbd_fast,0.07982944243702088,,,,1596,256,sobol
slope|viable,capitalist_mpc,rbd_fast,0.02255618090504606,,,,1596,256,sobol
slope|viable,beta,rbd_fast,0.6412270247367526,,,,1596,256,sobol
slope|viable,target_utilization,rbd_fast,0.023662545743924186,,,,1596,256,sobol
slope|viable,c0,rbd_fast,0.06824647003021056,,,,1596,256,sobol
