scenario,sigma,ols_slope,ols_se,chord,rho_star,rho_star_se_proxy,rho_star_in_support,quad_coef,rho_min,rho_max,empirical_rho_side
b05_eta=0,0.05,169.73693284077635,29.58144763703995,229.31055237816722,0.6736789030644398,293.5107970464059,False,-488.6515571147445,0.35,0.65,undefined
b05_eta=0,0.3,41.88814558270587,10.50553338309688,14.622300533211282,0.4202120093851226,34.17983897346539,True,262.4965565612434,0.35,0.65,straddles
b05_eta=0,0.4,26.759500450673546,8.691054944942083,5.17380455481131,0.4357976153467332,41.61100898710173,True,208.39958356068558,0.35,0.65,straddles
b05_eta=0,0.5,17.750894593786906,9.26175227626944,-5.929181546547467,0.4615522097126769,31.215717006562826,True,230.8441455435789,0.35,0.65,left
b05_eta=0,0.6,5.62344520505661,9.74648895006644,-20.67908108450353,0.48862077872091,23.846163989780976,True,247.0927081502672,0.35,0.65,left
b05_eta=0,0.7,-4.787589509296462,7.455255661259694,-18.872695711429294,0.5131554724070021,31.399674612929452,True,181.961900004622,0.35,0.65,left
b05_eta=0,0.8,-11.660039999980711,9.03131175873668,-33.32111527032487,0.526849429063323,42.5078431061479,True,217.1375780931569,0.35,0.65,left
b05_eta=0,0.9,-19.791652979123626,9.47197632660515,-41.90396254558364,0.5415911825086989,28.289229034959604,True,237.9308760338222,0.35,0.65,left
b05_eta=0,1.0,-29.562399579635972,8.629714668527352,-51.510356577258406,0.5694671947525792,33.06372005249902,True,212.77956944217837,0.35,0.65,left
b05_eta=0,1.25,-45.26400799384898,9.994491517975248,-68.75799558687302,0.5919392596662229,38.7208987179876,True,246.1625651445545,0.35,0.65,left
b05_eta=0,1.5,-61.07006015499789,8.888903744841311,-83.87843411151704,0.6397953547771216,35.2309336197307,True,218.42664318986266,0.35,0.65,left
b07_eta=0,0.05,169.73693284077635,29.58144763703995,229.31055237816722,0.6736789030644398,293.5107970464059,False,-488.6515571147445,0.35,0.65,undefined
b07_eta=0,0.3,41.88814558270587,10.50553338309688,14.622300533211282,0.4202120093851226,34.17983897346539,True,262.4965565612434,0.35,0.65,straddles
b07_eta=0,0.4,26.759500450673546,8.691054944942083,5.17380455481131,0.4357976153467332,41.61100898710173,True,208.39958356068558,0.35,0.65,straddles
b07_eta=0,0.5,17.750894593786906,9.26175227626944,-5.929181546547467,0.4615522097126769,31.215717006562826,True,230.8441455435789,0.35,0.65,left
b07_eta=0,0.6,5.62344520505661,9.74648895006644,-20.67908108450353,0.48862077872091,23.846163989780976,True,247.0927081502672,0.35,0.65,left
b07_eta=0,0.7,-4.787589509296462,7.455255661259694,-18.872695711429294,0.5131554724070021,31.399674612929452,True,181.961900004622,0.35,0.65,left
b07_eta=0,0.8,-11.660039999980711,9.03131175873668,-33.32111527032487,0.526849429063323,42.5078431061479,True,217.1375780931569,0.35,0.65,left
b07_eta=0,0.9,-19.791652979123626,9.47197632660515,-41.90396254558364,0.5415911825086989,28.289229034959604,True,237.9308760338222,0.35,0.65,left
b07_eta=0,1.0,-29.562399579635972,8.629714668527352,-51.510356577258406,0.5694671947525792,33.06372005249902,True,212.77956944217837,0.35,0.65,left
b07_eta=0,1.25,-45.26400799384898,9.994491517975248,-68.75799558687302,0.5919392596662229,38.7208987179876,True,246.1625651445545,0.35,0.65,left
b07_eta=0,1.5,-61.07006015499789,8.888903744841311,-83.87843411151704,0.6397953547771216,35.2309336197307,True,218.42664318986266,0.35,0.65,left
b07_eta=0.10,0.05,116.73519577752656,5.381824648180946,101.52206391823601,0.006922333880555296,36.39005063773553,False,118.37404510349195,0.35,0.65,undefined
b07_eta=0.10,0.3,45.755558720429015,6.208257212974581,31.063359760083376,0.34825554537599734,27.225142560588942,False,150.76517568222513,0.35,0.65,undefined
b07_eta=0.10,0.4,37.55950807676306,8.255595612689701,15.926993734189375,0.408615010150003,28.3094469859903,True,205.5015169259232,0.35,0.65,straddles
b07_eta=0.10,0.5,24.19761915852972,8.708447339936175,0.050761266766698995,0.4451079956580031,22.231528658215872,True,220.41114592739143,0.35,0.65,straddles
b07_eta=0.10,0.6,15.067345624957337,8.7716505531284,-7.378050752978138,0.46591321952451276,24.734383179365516,True,221.0145020258126,0.35,0.65,left
b07_eta=0.10,0.7,2.756155062883007,8.523763740297829,-15.794696181664984,0.493381545594001,35.64361658472896,True,208.2174246327297,0.35,0.65,left
b07_eta=0.10,0.8,-8.43367466939648,7.504028315087731,-29.9412454897645,0.5226381390424166,26.661151688628564,True,186.27137711308984,0.35,0.65,left
b07_eta=0.10,0.9,-15.872407457047279,8.367764203580105,-37.175598813739,0.5369104117315491,10.59754821172234,True,215.0126036587623,0.35,0.65,left
b07_eta=0.10,1.0,-22.63760863291173,9.55524675514828,-50.73627291316802,0.547823963438496,34.83090332921122,True,236.67641706407153,0.35,0.65,left
b07_eta=0.10,1.25,-44.913210542500124,11.538248388895358,-75.96819569709393,0.5771078241250363,31.366683570265742,True,291.23640209126563,0.35,0.65,left
b07_eta=0.10,1.5,76.32955739322263,70.48184522489073,232.16043884626944,0.530471625619861,660.1352266186994,True,-1252.4694012944753,0.35,0.65,left
